House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
16,Bletchleyrow Street,Albert,Sharpe,42,Head,Married,Male,Commercial art gallery manager,None,None
16,Bletchleyrow Street,Irene,Hall,42,Wife,Married,Female,"Development worker, international aid",None,None
16,Bletchleyrow Street,Owen,Sharpe,16,Adopted Son,NA,Male,Student,None,NA
16,Bletchleyrow Street,Graham,Sharpe,12,Son,NA,Male,Student,None,NA
17,Bletchleyrow Street,Connor,Brooks,44,Head,Divorced,Male,Unemployed,None,Christian
17,Bletchleyrow Street,Gail,Brooks,22,Daughter,Single,Female,University Student,None,Christian
17,Bletchleyrow Street,Rebecca,Brooks,20,Daughter,Single,Female,University Student,None,Christian
17,Bletchleyrow Street,Kathleen,Brooks,18,Daughter,Single,Female,Student,None,Christian
18,Bletchleyrow Street,Robin,Baker,34,Head,Single,Male,"Therapist, horticultural",None,Muslim
18,Bletchleyrow Street,Sara,Singh,62,None,Single,Female,Theatre manager,None,Christian
18,Bletchleyrow Street,Patricia,Bull,40,None,Single,Female,Physiological scientist,None,Christian
18,Bletchleyrow Street,Vincent,Hilton,47,None,Single,Male,"Physicist, medical",None,Catholic
18,Bletchleyrow Street,James,King,25,None,Widowed,Male,Hospital pharmacist,None,None
19,Bletchleyrow Street,Dylan,Walker,39,Head,Married,Male,Senior tax professional/tax inspector,None,Christian
19,Bletchleyrow Street,Kerry,Thomson,37,Wife,Married,Female,Unemployed,None,None
19,Bletchleyrow Street,Michelle,Walker,17,Daughter,NA,Female,Student,None,NA
19,Bletchleyrow Street,Chloe,Walker,13,Daughter,NA,Female,Student,None,NA
20,Bletchleyrow Street,Paige,Stevens,27,Head,Divorced,Female,Unemployed,None,Christian
20,Bletchleyrow Street,Catherine,Morris,52,Lodger,Single,Female,Equality and diversity officer,None,Christian
20,Bletchleyrow Street,Leslie,Williams,30,Lodger,Divorced,Male,Curator,None,Christian
21,Bletchleyrow Street,Carole,Barker,65,Head,Married,Female,Unemployed,None,None
21,Bletchleyrow Street,Steven,Barker,70,Husband,Married,Male,Retired Legal executive,None,None
21,Bletchleyrow Street,Lee,Barker,41,Son,Single,Male,"Teacher, early years/pre",None,None
21,Bletchleyrow Street,Charles,Barker,37,Son,Divorced,Male,Public house manager,None,None
21,Bletchleyrow Street,Francesca,Barker,32,Daughter,Divorced,Female,Fine artist,None,None
21,Bletchleyrow Street,Alex,Barker,28,Son,Single,Male,Mining engineer,None,None
22,Bletchleyrow Street,Christian,Taylor,59,Head,Married,Male,Geographical information systems officer,None,Christian
22,Bletchleyrow Street,Kimberley,Taylor,57,Wife,Married,Female,Architect,None,Christian
22,Bletchleyrow Street,Mary,Taylor,19,Daughter,Single,Female,University Student,None,Christian
22,Bletchleyrow Street,Jade,Taylor,17,Daughter,NA,Female,Student,None,NA
23,Bletchleyrow Street,Lucy,Roberts,37,Head,Married,Female,Ecologist,None,Christian
23,Bletchleyrow Street,Shaun,Roberts,37,Husband,Married,Male,"Engineer, chemical",None,None
23,Bletchleyrow Street,Julia,Roberts,20,Daughter,Single,Female,University Student,None,None
23,Bletchleyrow Street,Lindsey,Roberts,17,Daughter,NA,Female,Student,None,NA
24,Bletchleyrow Street,Tina,Skinner,47,Head,Single,Female,Financial planner,None,Methodist
24,Bletchleyrow Street,Patrick,Lee,52,Partner,Single,Male,Biomedical engineer,None,Methodist
25,Bletchleyrow Street,Denise,Butcher,48,Head,Married,Female,Private music teacher,None,Christian
25,Bletchleyrow Street,David,Butcher,53,Husband,Married,Male,"Programmer, applications",None,Christian
25,Bletchleyrow Street,Callum,Butcher,12,Son,NA,Male,Student,None,NA
25,Bletchleyrow Street,Roger,Butcher,10,Son,NA,Male,Student,None,NA
26,Bletchleyrow Street,Holly,Scott,35,Head,Married,Female,Mental health nurse,None,None
26,Bletchleyrow Street,Francis,Scott,39,Husband,Married,Male,"Journalist, newspaper",None,None
26,Bletchleyrow Street,Martin,Scott,1,Son,NA,Male,Child,None,NA
26,Bletchleyrow Street,Oliver,Clark,0,Adopted Son,NA,Male,Child,None,NA
27,Bletchleyrow Street,Ellie,Bailey,71,Head,Divorced,Female,"Retired Teacher, adult education",None,Christian
27,Bletchleyrow Street,William,Bailey,43,Son,Divorced,Male,"Radiographer, diagnostic",None,Christian
27,Bletchleyrow Street,Joanna,Bailey,34,Daughter,Single,Female,Textile designer,None,Christian
27,Bletchleyrow Street,Tom,Bailey,30,Son,Widowed,Male,"Scientist, product/process development",None,None
28,Bletchleyrow Street,Ellie,Reynolds,31,Head,Single,Female,Air cabin crew,None,None
29,Bletchleyrow Street,Yvonne,Rhodes,44,Head,Single,Female,Consulting civil engineer,None,Catholic
29,Bletchleyrow Street,Sam,Burton,48,Partner,Single,Male,Unemployed,None,None
29,Bletchleyrow Street,Dean,Rhodes,13,Son,NA,Male,Student,None,NA
29,Bletchleyrow Street,Chloe,Rhodes,11,Daughter,NA,Female,Student,None,NA
30,Bletchleyrow Street,Dominic,Stephenson,17,Head,Single,Male,Unemployed,None,NA
30,Bletchleyrow Street,Frederick,Stephenson,0,Son,NA,Male,Child,None,NA
30,Bletchleyrow Street,Ellie,Palmer,47,Sibling,Single,Female,Print production planner,None,Christian
30,Bletchleyrow Street,Lynn,Davies,41,Lodger,Divorced,Female,Camera operator,None,Catholic
1,December Avenue,Patricia,Simpson,50,Head,Married,Female,"Development worker, community",None,Catholic
1,December Avenue,Matthew,Simpson,52,Husband,Married,Male,Broadcast journalist,None,Catholic
1,December Avenue,Phillip,Simpson,30,Son,Single,Male,"Editor, film/video",None,Catholic
1,December Avenue,Carole,Simpson,14,Daughter,NA,Female,Student,None,NA
2,December Avenue,Elaine,Jones,36,Head,Single,Female,Public affairs consultant,None,None
2,December Avenue,Sam,Jones,4,Son,NA,Male,Child,None,NA
3,December Avenue,Colin,Lynch,44,Head,Single,Male,Medical sales representative,None,Christian
4,December Avenue,Katy,Holden,44,Head,Single,Female,Call centre manager,None,Methodist
4,December Avenue,Harry,Begum,46,Partner,Single,Male,Systems developer,None,None
4,December Avenue,Charlotte,Sutton-Holden,1,Daughter,NA,Female,Child,None,NA
4,December Avenue,James,Dixon,43,Lodger,Divorced,Male,"Secretary, company",None,None
5,December Avenue,Danielle,Begum,57,Head,Married,Female,Diplomatic Services operational officer,None,Christian
5,December Avenue,Bernard,Begum,60,Husband,Married,Male,"Therapist, nutritional",None,Christian
5,December Avenue,Hazel,Begum,24,Daughter,Single,Female,"Journalist, newspaper",None,Christian
5,December Avenue,Zoe,Anderson,9,Daughter,NA,Female,Student,None,NA
6,December Avenue,Graham,Adams,47,Head,Single,Male,Holiday representative,None,Christian
7,December Avenue,Katy,Carter,29,Head,Married,Female,"Therapist, sports",None,None
7,December Avenue,Albert,Carter,35,Husband,Married,Male,Amenity horticulturist,None,None
7,December Avenue,Ryan,Carter,3,Son,NA,Male,Child,None,NA
7,December Avenue,Angela,Price,34,Lodger,Widowed,Female,Call centre manager,None,None
7,December Avenue,Gemma,Doyle,19,Lodger,Single,Female,University Student,None,None
7,December Avenue,Donald,Welch,56,Lodger,Single,Male,Solicitor,None,Christian
8,December Avenue,Sophie,Slater,35,Head,Married,Female,Cartographer,None,Catholic
8,December Avenue,Frederick,Slater,35,Husband,Married,Male,Multimedia programmer,None,Catholic
8,December Avenue,Tina,Slater,15,Daughter,NA,Female,Student,None,NA
9,December Avenue,Marion,Smith,55,Head,Divorced,Female,Probation officer,None,Christian
9,December Avenue,Leanne,Thomas,18,Daughter,Single,Female,Student,None,Christian
9,December Avenue,Patricia,Thomas,18,Daughter,Single,Female,Student,None,Christian
9,December Avenue,Ellie,Thomas,18,Daughter,Single,Female,Student,None,Christian
10,December Avenue,Eleanor,Slater,41,Head,Widowed,Female,Sub,None,Methodist
10,December Avenue,Carly,Slater,11,Daughter,NA,Female,Student,None,NA
10,December Avenue,Shane,Slater,8,Son,NA,Male,Student,None,NA
10,December Avenue,Debra,Slater,1,Daughter,NA,Female,Child,None,NA
11,December Avenue,Charlene,Brown,54,Head,Single,Female,Research scientist (maths),None,Christian
11,December Avenue,Terence,Anderson,56,Partner,Single,Male,Unemployed,None,None
11,December Avenue,Amelia,Brown,13,Daughter,NA,Female,Student,None,NA
11,December Avenue,Dylan,Hamilton-Brown,10,Son,NA,Male,Student,None,NA
12,December Avenue,Olivia,King,69,Head,Married,Female,"Retired Engineer, building services",None,Christian
12,December Avenue,Glen,King,72,Husband,Married,Male,Retired Medical secretary,None,None
12,December Avenue,Sophie,King,24,Daughter,Single,Female,IT technical support officer,None,Christian
12,December Avenue,Stanley,King,21,Son,Single,Male,University Student,None,Christian
12,December Avenue,Louis,King,17,Son,NA,Male,Student,None,NA
1,Andrews Avenue,Kirsty,Hudson,24,Head,Single,Female,Unemployed,None,Methodist
1,Andrews Avenue,Bernard,Rees,26,Partner,Single,Male,Pathologist,None,None
2,Andrews Avenue,Jake,Smith,50,Head,Divorced,Male,"Designer, furniture",None,None
2,Andrews Avenue,Kim,Smith,16,Daughter,NA,Female,Student,None,NA
3,Andrews Avenue,Frances,Dixon,56,Head,Married,Female,"Surveyor, planning and development",None,Christian
3,Andrews Avenue,Michael,Dixon,56,Husband,Married,Male,Financial trader,None,Christian
4,Andrews Avenue,Joanne,Davies,49,Head,Widowed,Female,Unemployed,None,Christian
4,Andrews Avenue,Joan,Davies,16,Daughter,NA,Female,Student,None,NA
4,Andrews Avenue,Elliot,Davies,10,Son,NA,Male,Student,None,NA
5,Andrews Avenue,Suzanne,John,39,Head,Single,Female,Unemployed,None,Christian
5,Andrews Avenue,Frank,John,5,Son,NA,Male,Student,None,NA
5,Andrews Avenue,Josh,John,2,Son,NA,Male,Child,None,NA
6,Andrews Avenue,Gillian,Hill,46,Head,Married,Female,Town planner,None,None
6,Andrews Avenue,Carl,Hill,48,Husband,Married,Male,Records manager,None,None
6,Andrews Avenue,Nicholas,Hill,19,Son,Divorced,Male,University Student,None,None
6,Andrews Avenue,Amy,Hill,15,Daughter,NA,Female,Student,None,NA
6,Andrews Avenue,Kyle,Hill,14,Son,NA,Male,Student,None,NA
7,Andrews Avenue,Kayleigh,Baker,34,Head,Married,Female,Site engineer,None,None
7,Andrews Avenue,Declan,Baker,31,Husband,Married,Male,"Designer, ceramics/pottery",None,None
8,Andrews Avenue,Deborah,Young,34,Head,Married,Female,"Programmer, multimedia",None,Sikh
8,Andrews Avenue,Harry,Young,36,Husband,Married,Male,Financial planner,None,Sikh
8,Andrews Avenue,Maurice,Young,15,Son,NA,Male,Student,None,NA
9,Andrews Avenue,Melanie,Evans,68,Head,Married,Female,Retired Clinical biochemist,None,Christian
9,Andrews Avenue,Antony,Evans,67,Husband,Married,Male,Field trials officer,None,None
10,Andrews Avenue,Mandy,Barlow,55,Head,Single,Female,"Designer, graphic",None,None
11,Andrews Avenue,Helen,Dennis,61,Head,Married,Female,Unemployed,None,Christian
11,Andrews Avenue,Damien,Dennis,63,Husband,Married,Male,Broadcast engineer,None,Christian
11,Andrews Avenue,Paula,Dennis,10,Granddaughter,NA,Female,Student,None,NA
12,Andrews Avenue,Damien,Wyatt,70,Head,Widowed,Male,Retired Hydrogeologist,None,None
13,Andrews Avenue,Jemma,Patel,57,Head,Single,Female,Chartered public finance accountant,None,Catholic
13,Andrews Avenue,Lawrence,Patel,17,Son,NA,Male,Student,None,NA
13,Andrews Avenue,Kayleigh,Patel,15,Daughter,NA,Female,Student,None,NA
14,Andrews Avenue,Holly,Thomas,89,Head,Married,Female,Retired Printmaker,None,Christian
14,Andrews Avenue,David,Thomas,91,Husband,Married,Male,Retired Futures trader,None,None
15,Andrews Avenue,Trevor,Miller,68,Head,Married,Male,Retired Risk analyst,None,Christian
15,Andrews Avenue,Conor,Miller,64,Husband,Married,Male,Manufacturing systems engineer,None,None
16,Andrews Avenue,Kerry,Foster,47,Head,Single,Female,Animator,None,Catholic
16,Andrews Avenue,Benjamin,Thomas,46,Partner,Single,Male,"Nurse, adult",None,Catholic
17,Andrews Avenue,Kieran,Smith,76,Head,Married,Male,"Retired Engineer, structural",None,Christian
17,Andrews Avenue,Joanne,Smith,74,Wife,Married,Female,"Retired Scientist, biomedical",None,None
18,Andrews Avenue,Leslie,Byrne,81,Head,Widowed,Male,"Retired Psychologist, sport and exercise",None,Catholic
19,Andrews Avenue,Kayleigh,Simmons-Hughes,36,Head,Married,Female,"Doctor, general practice",None,Christian
19,Andrews Avenue,Kevin,Simmons-Hughes,37,Husband,Married,Male,"Embryologist, clinical",None,Christian
19,Andrews Avenue,Hugh,Simmons-Hughes,11,Son,NA,Male,Student,None,NA
20,Andrews Avenue,Conor,Robinson,68,Head,Married,Male,"Retired Teacher, English as a foreign language",None,Methodist
20,Andrews Avenue,Grace,Robinson,67,Wife,Married,Female,Writer,None,None
21,Andrews Avenue,Christine,Wheeler,25,Head,Married,Female,"Biochemist, clinical",None,None
21,Andrews Avenue,Declan,Wheeler,22,Husband,Married,Male,University Student,None,None
22,Andrews Avenue,Gerald,Smart,20,Head,Single,Male,University Student,None,Muslim
22,Andrews Avenue,Gary,Davies,41,None,Single,Male,"Presenter, broadcasting",None,None
22,Andrews Avenue,Carolyn,Norman,56,None,Single,Female,Sport and exercise psychologist,None,Methodist
22,Andrews Avenue,Marilyn,Thornton,38,None,Single,Female,Writer,None,Catholic
23,Andrews Avenue,Francesca,Jordan,47,Head,Divorced,Female,Unemployed,None,None
23,Andrews Avenue,Jonathan,Jordan,24,Son,Single,Male,Furniture designer,None,None
23,Andrews Avenue,Josephine,Jordan,20,Daughter,Divorced,Female,University Student,None,None
24,Andrews Avenue,Abbie,Brooks,41,Head,Married,Female,Personal assistant,None,None
24,Andrews Avenue,Denis,Brooks,43,Husband,Married,Male,Industrial buyer,None,None
25,Andrews Avenue,Pauline,Davies,78,Head,Married,Female,"Retired Engineer, technical sales",None,None
25,Andrews Avenue,Robert,Davies,83,Husband,Married,Male,"Retired Presenter, broadcasting",None,None
26,Andrews Avenue,Tony,Freeman,61,Head,Married,Male,"Engineer, production",None,Christian
26,Andrews Avenue,Laura,Freeman,62,Wife,Married,Female,Bonds trader,None,Christian
27,Andrews Avenue,Naomi,Bryan,59,Head,Married,Female,Air broker,None,Christian
27,Andrews Avenue,Christopher,Bryan,65,Husband,Married,Male,"Nurse, children's",None,None
28,Andrews Avenue,Margaret,Hunt,46,Head,Married,Female,Dancer,Physical Disability,Catholic
28,Andrews Avenue,Elliot,Hunt,48,Husband,Married,Male,Advertising copywriter,None,Catholic
28,Andrews Avenue,Thomas,Gardiner,17,Son,NA,Male,Student,None,NA
29,Andrews Avenue,Claire,Blake,80,Head,Married,Female,"Retired Engineer, technical sales",None,Christian
29,Andrews Avenue,Owen,Blake,81,Husband,Married,Male,Retired Animator,None,Christian
30,Andrews Avenue,Jane,Smith,37,Head,Married,Female,Health visitor,None,Christian
30,Andrews Avenue,Leslie,Smith,38,Husband,Married,Male,Site engineer,None,Christian
30,Andrews Avenue,Clare,Smith,16,Daughter,NA,Female,Student,None,NA
30,Andrews Avenue,Barbara,Smith,14,Daughter,NA,Female,Student,None,NA
31,Andrews Avenue,Lindsey,Parker,71,Head,Married,Female,"Retired Surveyor, insurance",None,Christian
31,Andrews Avenue,Wayne,Parker,76,Husband,Married,Male,Retired Petroleum engineer,None,Christian
32,Andrews Avenue,Howard,Wilkinson,67,Head,Married,Male,Toxicologist,None,Christian
32,Andrews Avenue,Andrea,Wilkinson,65,Wife,Married,Female,Metallurgist,None,Christian
33,Andrews Avenue,June,Thornton,32,Head,Married,Female,"Buyer, industrial",None,None
33,Andrews Avenue,Trevor,Thornton,34,Husband,Married,Male,Fast food restaurant manager,None,None
34,Andrews Avenue,Angela,Palmer,34,Head,Single,Female,Unemployed,None,Sikh
34,Andrews Avenue,Abbie,Palmer,11,Daughter,NA,Female,Student,None,NA
35,Andrews Avenue,Ben,Webb,73,Head,Divorced,Male,Retired Animal technologist,None,Catholic
36,Andrews Avenue,Martin,Holland,80,Head,Widowed,Male,"Retired Engineer, aeronautical",None,None
37,Andrews Avenue,Hazel,Evans,62,Head,Married,Female,Unemployed,None,Christian
37,Andrews Avenue,Billy,Evans,65,Husband,Married,Male,Risk analyst,None,None
37,Andrews Avenue,Julie,White,46,Daughter,Divorced,Female,"Horticulturist, amenity",None,None
37,Andrews Avenue,Billy,White,44,Son,Divorced,Male,Medical physicist,None,None
37,Andrews Avenue,Bethan,White,43,Daughter,Divorced,Female,Waste management officer,None,Christian
38,Andrews Avenue,Janice,Wilson,73,Head,Married,Female,"Retired Engineer, biomedical",None,Christian
38,Andrews Avenue,Bradley,Wilson,75,Husband,Married,Male,Retired Fish farm manager,None,Christian
39,Andrews Avenue,Andrea,Evans,34,Head,Widowed,Female,"Therapist, music",None,Catholic
39,Andrews Avenue,Kathryn,Evans,9,Daughter,NA,Female,Student,None,NA
40,Andrews Avenue,Jacqueline,Campbell,50,Head,Single,Female,Unemployed,None,None
40,Andrews Avenue,Malcolm,Campbell,25,Son,Single,Male,Archivist,None,None
40,Andrews Avenue,Mitchell,Campbell,23,Son,Widowed,Male,Nutritional therapist,None,None
40,Andrews Avenue,Reece,Campbell,19,Son,Single,Male,University Student,None,None
41,Andrews Avenue,Jeremy,Green,62,Head,Married,Male,Rural practice surveyor,None,Christian
41,Andrews Avenue,Denise,Green,63,Wife,Married,Female,Network engineer,None,None
42,Andrews Avenue,Charlene,Matthews,38,Head,Married,Female,Exercise physiologist,None,None
42,Andrews Avenue,Antony,Matthews,40,Husband,Married,Male,Unemployed,None,None
42,Andrews Avenue,Thomas,Matthews,2,Son,NA,Male,Child,None,NA
42,Andrews Avenue,Gail,Shaw,34,Lodger,Divorced,Female,Computer games developer,None,None
43,Andrews Avenue,Albert,Lee,73,Head,Married,Male,Retired Naval architect,None,None
43,Andrews Avenue,Teresa,Lee,73,Wife,Married,Female,"Retired Geneticist, molecular",None,None
44,Andrews Avenue,Joanne,King,45,Head,Married,Female,"Surveyor, insurance",None,Methodist
44,Andrews Avenue,Gavin,King-Khan,47,Husband,Married,Male,Actuary,None,Methodist
44,Andrews Avenue,Garry,King-Khan,12,Son,NA,Male,Student,None,NA
44,Andrews Avenue,Sylvia,King-Khan,10,Daughter,NA,Female,Student,None,NA
44,Andrews Avenue,Sara,King-Khan,9,Daughter,NA,Female,Student,None,NA
45,Andrews Avenue,Ryan,Robinson,31,Head,Married,Male,Probation officer,None,None
45,Andrews Avenue,Brenda,Evans,33,Wife,Married,Female,"Teacher, early years/pre",None,None
46,Andrews Avenue,Dean,Khan,44,Head,Married,Male,Pension scheme manager,None,Catholic
46,Andrews Avenue,Sheila,Khan,44,Wife,Married,Female,"Engineer, technical sales",None,None
47,Andrews Avenue,Jeffrey,Foster,39,Head,Divorced,Male,Probation officer,None,None
48,Andrews Avenue,Denis,Banks,35,Head,Single,Male,Architectural technologist,None,None
48,Andrews Avenue,Bethany,Barker,34,Partner,Single,Female,"Psychotherapist, dance movement",None,None
49,Andrews Avenue,Danielle,Powell,39,Head,Married,Female,"Conservation officer, nature",None,None
49,Andrews Avenue,Ben,Powell,41,Husband,Married,Male,Dealer,None,None
49,Andrews Avenue,Grace,Powell,10,Daughter,NA,Female,Student,None,NA
50,Andrews Avenue,Robin,Moore,89,Head,Single,Male,"Retired Teacher, English as a foreign language",None,Jewish
51,Andrews Avenue,Albert,Wilson,23,Head,Married,Male,Field trials officer,None,None
51,Andrews Avenue,Samantha,Wilson,21,Wife,Married,Female,University Student,None,None
52,Andrews Avenue,Margaret,Clark,34,Head,Divorced,Female,Unemployed,None,Muslim
52,Andrews Avenue,Richard,Thompson,21,Lodger,Divorced,Male,University Student,None,Sikh
53,Andrews Avenue,Jemma,Allen,19,Head,Single,Female,University Student,None,None
53,Andrews Avenue,Patrick,Edwards,19,None,Single,Male,University Student,None,None
54,Andrews Avenue,Francesca,Evans,49,Head,Single,Female,"Physicist, medical",None,Muslim
55,Andrews Avenue,Sophie,Evans,27,Head,Single,Female,Unemployed,None,None
55,Andrews Avenue,Amber,Evans,5,Daughter,NA,Female,Student,None,NA
56,Andrews Avenue,Craig,Banks,57,Head,Married,Male,Paediatric nurse,None,Methodist
56,Andrews Avenue,Gillian,Banks,61,Wife,Married,Female,Customer service manager,None,Methodist
56,Andrews Avenue,Malcolm,Sanders,8,Grandson,NA,Male,Student,None,NA
56,Andrews Avenue,Malcolm,Mann,8,Grandson,NA,Male,Student,None,NA
56,Andrews Avenue,Nicole,Wilkinson,3,Adopted Granddaughter,NA,Female,Child,None,NA
57,Andrews Avenue,Mary,Kirk,68,Head,Married,Female,Retired Dance movement psychotherapist,None,Catholic
57,Andrews Avenue,Danny,Kirk,67,Husband,Married,Male,Plant breeder/geneticist,None,None
58,Andrews Avenue,Catherine,Griffin,102,Head,Widowed,Female,"Retired Editor, film/video",None,Christian
59,Andrews Avenue,Anna,Howarth,66,Head,Married,Female,Airline pilot,None,None
59,Andrews Avenue,Stuart,Howarth,58,Husband,Married,Male,"Development worker, international aid",None,None
